placename,sentence,model
Sruthán Áth na Circe,Bhí mé ag snámh sa Sruthán Áth na Circe.,claude-3-haiku-20240307
Aill an Bhlácaigh,Téimid go minic go hAill an Bhlácaigh chun scríobh agus ceol a dhéanamh.,claude-3-haiku-20240307
Teach an tSalainn,Rachaidh muid go Teach an tSalainn an deireadh seachtaine seo.,claude-3-haiku-20240307
Aill an Phúca,Rachaimid go hAill an Phúca le linn na Nollag.,claude-3-haiku-20240307
Aill an Chlogáis,Rachaimid go hAill an Chlogáis don turais scoile.,claude-3-haiku-20240307
Aill na mBairneach,Táimid ag snámh in Aill na mBairneach gach lá.,claude-3-haiku-20240307
An Aill Mhór,Beidh taispeántas ealaíne speisialta ar siúl in An Aill Mhór an samhradh seo.,claude-3-haiku-20240307
Thuaidh,Téann mé go minic go Thuaidh ag iascaireacht.,claude-3-haiku-20240307
Aill na mBairneach,Thug siad cuairt ar Aill na mBairneach le déanaí.,claude-3-haiku-20240307
Aill an Fhéir,Bíonn daoine ag léim ón Aill an Fhéir i rith an tsamhraidh.,claude-3-haiku-20240307
An Eatharla,Tháinig muid go Baile an Dúna le haghaidh an fhéile.,claude-3-haiku-20240307
An Aill Bhuí,Léim na páistí anuas ón An Aill Bhuí gach samhradh.,claude-3-haiku-20240307
An Ceann,Bíonn roinnt daoine ag teacht go hAn Ceann chun saoráidí spóirt a úsáid.,claude-3-haiku-20240307
Oileán Ghort an,Bíonn rásaí báid ar Oileán Ghort an gach samhradh.,claude-3-haiku-20240307
Baile an Tobair,Bíonn margadh áitiúil ar siúl i mBaile an Tobair gach Satharn.,claude-3-haiku-20240307
Carraig an Ancaire,Tá an brú turasóireachta ag ardú i gCarraig an Ancaire.,claude-3-haiku-20240307
Chalaidh,Oireann Chalaidh go maith don iascaireacht.,claude-3-haiku-20240307
Oileáin na hEanaí,Bíonn éin mhara ag eitilt thar Oileáin na hEanaí gach lá.,claude-3-haiku-20240307
Eanach Bhéal Abhna,Téann muid go hEanach Bhéal Abhna chun siúl sa nádúr.,claude-3-haiku-20240307
Baile Mheiriceá,Tá mé ag súil le cuairt a thabhairt ar Bhaile Mheiriceá an samhradh seo.,claude-3-haiku-20240307
Oileáin Eanach Dhúin,Beidh ceolchoirm mhór ar siúl in Oileáin Eanach Dhúin an Samhradh seo.,claude-3-haiku-20240307
Caisleán Eanach Dhúin,Beidh ceolchoirm mhór i gCaisleán Eanach Dhúin an samhradh seo.,claude-3-haiku-20240307
Carraig na nÚll,Bíonn crainn úll go flúirseach i gCarraig na nÚll.,claude-3-haiku-20240307
Céibh Eanach Dhúin,Téann muid go Céibh Eanach Dhúin chun árthaí a fheiceáil ag teacht i dtír.,claude-3-haiku-20240307
Cuan na hAirde,Bíonn muintir Chuan na hAirde ag iascaireacht agus ag gabháil don fheirmeoireacht gach lá.,claude-3-haiku-20240307
Eanach Míonóige,Téitear go Eanach Míonóige ar laethanta saoire go minic.,claude-3-haiku-20240307
Aill an Ára Thoir,Bíonn na cuairteoirí ag déanamh grianghraf álainn in Aill an Ára Thoir.,claude-3-haiku-20240307
Caisleán na hAirde,Tá sé beartaithe leasú a dhéanamh ar Chaisleán na hAirde.,claude-3-haiku-20240307
Carraig na hAirde,Thaitin sé liom siúl ar feadh na gcarraige i gCarraig na hAirde.,claude-3-haiku-20240307
Loch na nArd-doiriú,Caitheann na daoine a gcuid ama saor ag Loch na nArd-doiriú ag caitheamh an lae.,claude-3-haiku-20240307
Cora na hAirde Móire,Tá deontas nua fógartha ag an rialtas le haghaidh forbairt turasóireachta i gCora na hAirde Móire.,claude-3-haiku-20240307
hAirde Móire,Bíonn an-tóir ar thurais chuig hAirde Móire i rith an tsamhraidh.,claude-3-haiku-20240307
Carraig Ardoileáin,Tá sé i gceist ag an gcumann áitiúil ceolchoirm speisialta a reachtáil i gCarraig Ardoileáin an bhliain seo chugainn.,claude-3-haiku-20240307
Carraigeacha Chora na,Déanann daoine taisteal ar Chúl Cairde i gCarraigeacha Chora na gCuairteanna ar laethanta saoire.,claude-3-haiku-20240307
Leac na gCarrachán,Bíonn daoine ag caitheamh aimsire ar Leac na gCarrachán gach deireadh seachtaine.,claude-3-haiku-20240307
Loch an Átha Buí,Beidh turas cois farraige iontach ag Loch an Átha Buí an samhradh seo.,claude-3-haiku-20240307
Áth an Chnoic Mhóir,Caitheann muid saoire gach bliain in Áth an Chnoic Mhóir.,claude-3-haiku-20240307
Caisleán Aircín,Tógfar eastáit nua tithíochta i gCaisleán Aircín an bhliain seo chugainn.,claude-3-haiku-20240307
Áit an Chnáimhín,Bíonn picnicí teaghlaigh go minic in Áit an Chnáimhín.,claude-3-haiku-20240307
Áit an Chuain,Rachaidh mé go hÁit an Chuain chun siúil na trá.,claude-3-haiku-20240307
Oileán Bhéal an Átha,Rachfaidh mé ag seilg éan go hOileán Bhéal an Átha an samhradh seo.,claude-3-haiku-20240307
An Baile Láir,Cuireann muintir An Baile Láir fáilte roimh gach duine a thagann go dtí an baile.,claude-3-haiku-20240307
Loch an Dúlaigh,Cuirfear cluichí uile-Éireann ar siúl i Loch an Dúlaigh an samhradh seo.,claude-3-haiku-20240307
Fada,Gabhann mé thar Fada go minic chun an dea-shíobháil a fheiceáil.,claude-3-haiku-20240307
Inneonach,Tá gníomhaíochtaí iontacha ar siúl in Inneonach gach deireadh seachtaine.,claude-3-haiku-20240307
An Baláiste,Bíonn dathanna bríomhara le feiceáil i ngairdíní an Bhaláiste.,claude-3-haiku-20240307
Caisleán Bhaile,Beidh siúlóid iontach againn thart ar Chaisleán Bhaile an mhí seo chugainn.,claude-3-haiku-20240307
Cloch Abhach,Bíonn daoine ag spaisteoireacht thart ar Chloch Abhach gach lá.,claude-3-haiku-20240307
