area,ga_placename
ceantair ghaeltachta,TABLE
ceantair ghaeltachta,Sruthán Áth na Circe
ceantair ghaeltachta,Fraoigh
ceantair ghaeltachta,An Eatharla
ceantair ghaeltachta,Aill an Bhlácaigh
ceantair ghaeltachta,Aill an Phúca
ceantair ghaeltachta,Aill an Chlogáis
ceantair ghaeltachta,Aill na mBairneach
ceantair ghaeltachta,Aill na mBairneach
ceantair ghaeltachta,Teach an tSalainn
ceantair ghaeltachta,Thuaidh
ceantair ghaeltachta,An Aill Bhuí
ceantair ghaeltachta,An Aill Mhór
ceantair ghaeltachta,Aill an Fhéir
ceantair ghaeltachta,An Ceann
ceantair ghaeltachta,Aill an Ára Thoir
ceantair ghaeltachta,Baile an Tobair
ceantair ghaeltachta,Baile Mheiriceá
ceantair ghaeltachta,Carraig an Ancaire
ceantair ghaeltachta,Oileán Ghort an
ceantair ghaeltachta,Chalaidh
ceantair ghaeltachta,Oileáin na hEanaí
ceantair ghaeltachta,Eanach Bhéal Abhna
ceantair ghaeltachta,Caisleán Eanach Dhúin
ceantair ghaeltachta,Oileáin Eanach Dhúin
ceantair ghaeltachta,Céibh Eanach Dhúin
ceantair ghaeltachta,Eanach Míonóige
ceantair ghaeltachta,Carraig na nÚll
ceantair ghaeltachta,Cuan na hAirde
ceantair ghaeltachta,Caisleán na hAirde
ceantair ghaeltachta,Carraig na hAirde
ceantair ghaeltachta,Loch na nArd-doiriú
ceantair ghaeltachta,Carraig Ardoileáin
ceantair ghaeltachta,Cora na hAirde Móire
ceantair ghaeltachta,Carraigeacha Chora na
ceantair ghaeltachta,hAirde Móire
ceantair ghaeltachta,Áth an Chnoic Mhóir
ceantair ghaeltachta,Leac na gCarrachán
ceantair ghaeltachta,Loch an Átha Buí
ceantair ghaeltachta,Áit an Chnáimhín
ceantair ghaeltachta,Áit an Chuain
ceantair ghaeltachta,Cloch Abhach
ceantair ghaeltachta,An Baile Láir
ceantair ghaeltachta,An Baláiste
ceantair ghaeltachta,Oileán Bhéal an Átha
ceantair ghaeltachta,Fada
ceantair ghaeltachta,Caisleán Bhaile
ceantair ghaeltachta,Inneonach
ceantair ghaeltachta,Loch an Dúlaigh
ceantair ghaeltachta,Caisleán Bhaile an
ceantair ghaeltachta,Baile an Dúna
ceantair ghaeltachta,Baile an Dúin
ceantair ghaeltachta,Baile an Lisín
ceantair ghaeltachta,Baile an Logáin
ceantair ghaeltachta,Baile an tSagairt
ceantair ghaeltachta,Sruthán Bhaile an
ceantair ghaeltachta,tSagairt
ceantair ghaeltachta,An Teach Mór
ceantair ghaeltachta,Baile an Teampaill
ceantair ghaeltachta,Baile an tSléibhe
ceantair ghaeltachta,Baile Chonamara
ceantair ghaeltachta,Loch Bhaile Uí Chuirc
ceantair ghaeltachta,Baile an Dónalláin
ceantair ghaeltachta,Loch Bhaile Dhúlocha
ceantair ghaeltachta,Baile Éamainn
ceantair ghaeltachta,An Baile Fánach
ceantair ghaeltachta,An Bhuaile Ghlas
ceantair ghaeltachta,An Baile Thíos
ceantair ghaeltachta,Carraigíní Bhaile Uí
ceantair ghaeltachta,Chadhain
ceantair ghaeltachta,Baile Uí Luinneacháin
ceantair ghaeltachta,An Baile Láir
ceantair ghaeltachta,An Baile Láir
ceantair ghaeltachta,Sruthán Bhaile an
ceantair ghaeltachta,Mhóinín
ceantair ghaeltachta,Baile na Buaile Glaise
ceantair ghaeltachta,Baile na Creige
ceantair ghaeltachta,Loch Bhaile na hInse
ceantair ghaeltachta,Baile na hUamhnach
ceantair ghaeltachta,Baile na hAbhna
ceantair ghaeltachta,Loch Bhaile na Cille
ceantair ghaeltachta,An Baile Nua
ceantair ghaeltachta,Baile an Bhodaigh
ceantair ghaeltachta,Baile Liam
ceantair ghaeltachta,Barra Árann
ceantair ghaeltachta,Carraig an Bharra
ceantair ghaeltachta,Barr Aille
ceantair ghaeltachta,An tOileán Lom
ceantair ghaeltachta,An Charraig Lom
ceantair ghaeltachta,Barr an Phointe
ceantair ghaeltachta,Cnoc na hEorna
ceantair ghaeltachta,Carraig na hEorna
ceantair ghaeltachta,Caisleán Bhearna
ceantair ghaeltachta,Oileán an Bharra
ceantair ghaeltachta,Barr an Chrompáin
ceantair ghaeltachta,Barr Log Riabhach
ceantair ghaeltachta,Loch Bheitheach
ceantair ghaeltachta,Chatha
ceantair ghaeltachta,Loch Bheitheach
ceantair ghaeltachta,Ghaibhnín
ceantair ghaeltachta,Carraigeacha na
ceantair ghaeltachta,mBeitheach
ceantair ghaeltachta,Béal an Chalaidh
ceantair ghaeltachta,Ghearr
ceantair ghaeltachta,Abhainn Bhéal Átha
ceantair ghaeltachta,na mBreac
ceantair ghaeltachta,Carraig Bhealach an
ceantair ghaeltachta,Chraoi
ceantair ghaeltachta,Carraig Bhealach an
ceantair ghaeltachta,West
ceantair ghaeltachta,Droichead an Daingin
ceantair ghaeltachta,Abhainn Bhéal na
ceantair ghaeltachta,Cora
ceantair ghaeltachta,Loch an Amadáin
ceantair ghaeltachta,Béal an Chalaidh
ceantair ghaeltachta,Binn idir an Dá Log
ceantair ghaeltachta,Binn an Charnáin
